"","X01桐壺","X02帚木","X03空蝉","X04夕顔","X05若紫","X06末摘花","X07紅葉賀","X08花宴","X09葵","X10賢木","X11花散里","X12須磨","X13明石","X14澪標","X15蓬生","X16関屋","X17絵合","X18松風","X19薄雲","X20朝顔","X21少女","X22玉鬘","X23初音","X24胡蝶","X25蛍","X26常夏","X27篝火","X28野分","X29行幸","X30藤袴","X31真木柱","X32梅枝","X33藤裏葉","X34若菜上","X35若菜下","X36柏木","X37横笛","X38鈴虫","X39夕霧","X40御法","X41幻","X42匂宮","X43紅梅","X44竹河","X45橋姫","X46椎本","X47総角","X48早蕨","X49宿木","X50東屋","X51浮舟","X52蜻蛉","X53手習","X54夢浮橋","X01俊蔭","X02藤原の君","X03忠こそ","X04春日詣","X05嵯峨の院","X06祭の使","X07吹上上","X08吹上下","X09菊の宴","X10あて宮","X11内侍のかみ","X12沖つ白波","X13蔵開上","X14蔵開中","X15蔵開下","X16国譲上","X17国譲中","X18国譲下","X19楼の上上","X20楼の上下"
"カズ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4744693057946,63.9912240607002,14.7362216327734,20.8681135225376,64.1613198900092,65.7462195923734,56.38249887235,108.601216333623,88.6810706223799,37.2508847085118,53.3646405891456,81.2347684809098,16.2144633012647,0,15.5605695168443,5.69508514152287,23.8635007755638,8.51933889930141,47.4672814809792,16.8899898660061
"カゼ",83.2639467110741,21.3151444101034,45.7247370827618,41.8147606104955,42.5260472039124,32.5785958625183,17.9888469149128,49.7760079641613,43.634776917203,51.7384105960265,0,83.4227148134906,89.0019071837254,0,21.7155266015201,107.066381156317,0,24.8138957816377,0,25.0438266967193,29.8804780876494,24.4319569997557,0,74.2390497401633,0,91.9328889910365,153.139356814701,769.230769230769,0,0,27.6472214542438,82.4628916987356,0,24.7537006782514,19.7794590317955,0,54.1418516513265,36.3901018922853,7.13215890450039,107.52688172043,69.9953336444237,0,39.7298371076679,49.5970241785493,27.401013837512,54.8696844993141,51.6143832081207,56.2271577171774,21.232549498381,7.69289945380414,34.6860908775581,0,63.2866886998101,0,45.8978772231784,27.4248103117287,58.9448865310934,166.944908180301,27.4977085242896,54.7885163269779,67.65899864682,195.482189400521,80.6191551112544,0,133.411601472864,0,10.8096422008432,0,7.78028475842216,22.7803405660915,17.8976255816728,25.5580166979042,20.3431206347054,56.2999662200203
"カタ",228.975853455454,394.330171586913,320.073159579332,135.89797198411,180.735700616628,309.496660693924,125.921928404389,199.104031856645,185.447801898113,165.562913907285,276.243093922652,166.845429626981,241.576605212969,95.2986022871665,152.008686210641,107.066381156317,246.17067833698,173.697270471464,215.83928274946,175.306786877035,169.322709163347,256.535548497435,409.074005206396,123.731749566939,132.731616671091,160.882555734314,306.278713629403,284.900284900285,133.715377268386,143.112701252236,165.883328725463,137.438152831226,225.733634311512,292.093668003367,247.243237897443,227.100681302044,189.496480779643,181.950509461426,228.229084944013,188.172043010753,279.981334577695,148.367952522255,397.298371076679,371.97768133912,205.50760378134,260.631001371742,378.505476859552,309.249367444476,260.098731355167,246.172782521732,221.990981616372,279.708425156806,182.828211799452,224.971878515186,91.7957544463569,219.398482493829,0,83.4724540901503,183.318056828598,43.8308130615823,90.21199819576,86.8809730668983,193.485972267011,74.5017694170237,80.0469608837185,588.952071486596,86.4771376067452,72.169598556608,178.94654944371,165.157469104163,184.942131010619,85.1933889930141,203.431206347054,197.049881770071
"カタチ",187.343880099917,63.9454332303101,91.4494741655236,52.2684507631194,53.1575590048905,32.5785958625183,89.9442345745638,0,43.634776917203,62.0860927152318,0,11.9175306876415,38.1436745073109,79.4155019059721,43.4310532030402,0,54.7045951859956,74.4416873449131,33.206043499917,100.175306786877,129.482071713147,134.375763498656,37.1885459278542,49.4926998267755,79.6389700026546,68.9496667432774,0,142.450142450142,76.4087870105062,107.334525939177,124.412496544097,0,135.440180586907,24.7537006782514,29.6691885476932,50.4668180671209,0,36.3901018922853,21.3964767135012,53.7634408602151,46.6635557629491,111.275964391691,79.4596742153357,111.593304401736,41.101520756268,0,40.1445202729827,56.2271577171774,31.8488242475715,61.5431956304331,27.7488727020465,50.8560773012375,91.4141058997258,168.728908886389,68.8468158347676,91.4160343724289,117.889773062187,62.6043405676127,27.4977085242896,54.7885163269779,90.21199819576,65.1607298001738,48.3714930667527,130.378096479791,90.7198890015476,81.2347684809098,54.0482110042158,9.021199819576,108.92398661791,45.5606811321829,53.6928767450185,55.3757028454592,101.715603173527,90.0799459520324
"カハラケ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7372346528973,18.2832068744858,0,41.7362270450751,18.3318056828598,109.577032653956,112.7649977447,65.1607298001738,48.3714930667527,0,64.0375687069748,40.6173842404549,97.2867798075884,45.10599909788,77.8028475842216,0,17.8976255816728,46.8563639461578,6.78104021156845,0
"カヘリ",41.631973355537,10.6575722050517,0,20.9073803052478,31.8945354029343,32.5785958625183,17.9888469149128,0,87.269553834406,72.4337748344371,0,119.175306876415,63.5727908455181,47.6493011435832,0,0,109.409190371991,24.8138957816377,16.6030217499585,100.175306786877,19.9203187250996,24.4319569997557,74.3770918557084,173.224449393714,106.185293336873,22.9832222477591,0,56.980056980057,38.2043935052531,107.334525939177,55.2944429084877,27.4876305662452,22.5733634311512,29.7044408139017,14.8345942738466,37.8501135503407,27.0709258256632,0,78.4537479495043,53.7634408602151,46.6635557629491,0,79.4596742153357,0,27.401013837512,82.3045267489712,28.6746573378448,28.1135788585887,21.232549498381,0,6.93721817551162,25.4280386506187,7.0318542999789,28.1214848143982,5.7372346528973,219.398482493829,0,104.340567612688,91.6590284142988,65.7462195923734,0,21.7202432667246,177.36214124476,74.5017694170237,0,60.9260763606824,43.2385688033726,72.169598556608,46.681708550533,85.426277122843,65.6246271328004,55.3757028454592,74.591442327253,45.0399729760162
"カホ",20.8159866777685,74.6030054353618,91.4494741655236,62.7221409157433,10.6315118009781,16.2892979312592,35.9776938298255,0,10.9086942293008,51.7384105960265,0,0,25.4291163382072,31.7662007623888,21.7155266015201,0,0,49.6277915632754,0,0,49.800796812749,48.8639139995114,0,24.7463499133878,53.0926466684364,22.9832222477591,0,56.980056980057,38.2043935052531,0,41.4708321813658,0,45.1467268623025,4.95074013565028,29.6691885476932,25.2334090335604,54.1418516513265,0,21.3964767135012,161.290322580645,46.6635557629491,0,0,0,41.101520756268,13.7174211248285,45.8794517405517,0,26.5406868729763,38.4644972690207,41.6233090530697,8.47601288353958,21.0955628999367,112.485939257593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"カンダチメ",41.631973355537,21.3151444101034,0,0,10.6315118009781,0,35.9776938298255,199.104031856645,43.634776917203,41.3907284768212,0,23.835061375283,12.7145581691036,47.6493011435832,0,0,0,0,0,0,59.7609561752988,0,74.3770918557084,49.4926998267755,0,0,0,0,57.3065902578797,0,13.8236107271219,27.4876305662452,67.7200902934537,49.5074013565028,39.558918063591,12.6167045167802,0,72.7802037845706,0,53.7634408602151,46.6635557629491,111.275964391691,0,12.3992560446373,0,13.7174211248285,5.73493146756896,0,31.8488242475715,30.7715978152166,20.8116545265349,0,7.0318542999789,0,45.8978772231784,36.5664137489716,29.4724432655467,20.8681135225376,91.6590284142988,131.492439184747,0,195.482189400521,88.6810706223799,130.378096479791,58.7011046480602,40.6173842404549,43.2385688033726,27.063599458728,54.4619933089551,28.4754257076143,29.8293759694547,63.8950417447606,20.3431206347054,50.6699695980182
"カンノオトド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6729281178291,0,151.334990811804,0,31.1211390336886,5.69508514152287,41.7611263572366,25.5580166979042,115.277683596664,56.2999662200203
"キ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.379804934022,45.7080171862145,0,0,0,0,112.7649977447,21.7202432667246,8.06191551112544,37.2508847085118,10.6729281178291,0,5.40482110042158,0,7.78028475842216,0,23.8635007755638,4.25966944965071,33.9052010578423,61.9299628420223
"キサイノミヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4744693057946,0,14.7362216327734,0,0,10.9577032653956,11.27649977447,0,104.804901644631,74.5017694170237,10.6729281178291,0,32.4289266025295,36.084799278304,15.5605695168443,17.0852554245686,17.8976255816728,119.27074459022,0,5.62999662200203
"キタノカタ",20.8159866777685,0,0,10.4536901526239,31.8945354029343,0,0,49.7760079641613,0,10.3476821192053,0,23.835061375283,0,0,108.5776330076,0,0,0,0,0,29.8804780876494,36.6479354996335,0,24.7463499133878,0,0,0,0,0,35.778175313059,124.412496544097,0,90.293453724605,14.8522204069508,34.6140533056421,50.4668180671209,0,0,21.3964767135012,0,0,0,238.379022646007,61.9962802231866,13.700506918756,0,0,0,10.6162747491905,69.2360950842372,0,8.47601288353958,21.0955628999367,28.1214848143982,57.372346528973,127.9824481214,486.295313881521,146.076794657763,9.16590284142988,43.8308130615823,78.93549842129,21.7202432667246,96.7429861335053,0,202.785634238753,162.46953696182,64.8578532050589,54.127198917456,178.94654944371,45.5606811321829,149.146879847274,127.790083489521,0,16.8899898660061
"キハ",62.4479600333056,63.9454332303101,91.4494741655236,20.9073803052478,10.6315118009781,48.8678937937775,17.9888469149128,0,0,10.3476821192053,276.243093922652,23.835061375283,38.1436745073109,31.7662007623888,0,0,0,49.6277915632754,16.6030217499585,50.0876533934385,19.9203187250996,12.2159784998778,0,74.2390497401633,53.0926466684364,91.9328889910365,0,0,57.3065902578797,0,13.8236107271219,27.4876305662452,45.1467268623025,54.4581414921531,14.8345942738466,12.6167045167802,0,36.3901018922853,21.3964767135012,0,46.6635557629491,74.1839762611276,0,0,41.101520756268,41.1522633744856,22.9397258702759,0,42.465098996762,7.69289945380414,6.93721817551162,8.47601288353958,7.0318542999789,56.2429696287964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
